Country,Sectors,Year,Emissions,% Difference in Emissions,Difference in Emissions,Absolute change since 1990,Percentage change since 1990,Index (1990=100)
Spain,Agriculture,1990,"597,845",,,0,0.00%,100
Spain,Agriculture,1991,"547,364",-8.44%,"-50,481","-50,481",-8.44%,92
Spain,Agriculture,1992,"538,445",-1.63%,"-8,919","-59,400",-9.94%,90
Spain,Agriculture,1993,"484,130",-10.09%,"-54,315","-113,715",-19.02%,81
Spain,Agriculture,1994,"516,432",6.67%,"32,302","-81,413",-13.62%,86
Spain,Agriculture,1995,"428,360",-17.05%,"-88,072","-169,485",-28.35%,72
Spain,Agriculture,1996,"594,763",38.85%,"166,403","-3,082",-0.52%,99
Spain,Agriculture,1997,"574,598",-3.39%,"-20,165","-23,247",-3.89%,96
Spain,Agriculture,1998,"640,776",11.52%,"66,178","42,931",7.18%,107
Spain,Agriculture,1999,"704,623",9.96%,"63,847","106,778",17.86%,118
Spain,Agriculture,2000,"761,763",8.11%,"57,140","163,918",27.42%,127
Spain,Agriculture,2001,"676,679",-11.17%,"-85,084","78,834",13.19%,113
Spain,Agriculture,2002,"637,241",-5.83%,"-39,438","39,396",6.59%,107
Spain,Agriculture,2003,"680,881",6.85%,"43,640","83,036",13.89%,114
Spain,Agriculture,2004,"633,908",-6.90%,"-46,973","36,063",6.03%,106
Spain,Agriculture,2005,"535,651",-15.50%,"-98,257","-62,194",-10.40%,90
Spain,Agriculture,2006,"582,652",8.77%,"47,001","-15,193",-2.54%,97
Spain,Agriculture,2007,"575,214",-1.28%,"-7,438","-22,632",-3.79%,96
Spain,Agriculture,2008,"426,178",-25.91%,"-149,036","-171,667",-28.71%,71
Spain,Agriculture,2009,"550,589",29.19%,"124,411","-47,256",-7.90%,92
Spain,Agriculture,2010,"608,786",10.57%,"58,197","10,940",1.83%,102
Spain,Agriculture,2011,"545,078",-10.46%,"-63,707","-52,767",-8.83%,91
Spain,Agriculture,2012,"529,767",-2.81%,"-15,311","-68,078",-11.39%,89
Spain,Agriculture,2013,"599,353",13.14%,"69,586","1,508",0.25%,100
Spain,Agriculture,2014,"704,332",17.52%,"104,979","106,487",17.81%,118
Spain,Agriculture,2015,"625,248",-11.23%,"-79,084","27,402",4.58%,105
Spain,Agriculture,2016,"612,503",-2.04%,"-12,744","14,658",2.45%,102
Spain,Agriculture,2017,"703,746",14.90%,"91,243","105,901",17.71%,118
Spain,Agriculture,2018,"609,130",-13.44%,"-94,616","11,285",1.89%,102
Spain,Agriculture,2019,"559,555",-8.14%,"-49,575","-38,290",-6.40%,94
Spain,Agriculture,2020,"637,817",13.99%,"78,262","39,972",6.69%,107
Spain,Domestic transport,1990,"57,739,105",8952.61%,"57,101,288",0,0.00%,100
Spain,Domestic transport,1991,"61,094,298",5.81%,"3,355,193","3,355,193",5.81%,106
Spain,Domestic transport,1992,"65,061,997",6.49%,"3,967,700","7,322,892",12.68%,113
Spain,Domestic transport,1993,"64,649,758",-0.63%,"-412,240","6,910,652",11.97%,112
Spain,Domestic transport,1994,"68,142,017",5.40%,"3,492,259","10,402,912",18.02%,118
Spain,Domestic transport,1995,"68,964,677",1.21%,"822,660","11,225,572",19.44%,119
Spain,Domestic transport,1996,"73,545,157",6.64%,"4,580,479","15,806,051",27.37%,127
Spain,Domestic transport,1997,"73,174,081",-0.50%,"-371,076","15,434,976",26.73%,127
Spain,Domestic transport,1998,"79,824,226",9.09%,"6,650,144","22,085,120",38.25%,138
Spain,Domestic transport,1999,"83,544,807",4.66%,"3,720,581","25,805,701",44.69%,145
Spain,Domestic transport,2000,"85,197,484",1.98%,"1,652,677","27,458,379",47.56%,148
Spain,Domestic transport,2001,"89,171,617",4.66%,"3,974,134","31,432,512",54.44%,154
Spain,Domestic transport,2002,"90,973,205",2.02%,"1,801,588","33,234,100",57.56%,158
Spain,Domestic transport,2003,"95,483,896",4.96%,"4,510,691","37,744,791",65.37%,165
Spain,Domestic transport,2004,"99,158,337",3.85%,"3,674,441","41,419,232",71.74%,172
Spain,Domestic transport,2005,"101,753,574",2.62%,"2,595,237","44,014,469",76.23%,176
Spain,Domestic transport,2006,"105,029,592",3.22%,"3,276,018","47,290,487",81.90%,182
Spain,Domestic transport,2007,"107,365,405",2.22%,"2,335,813","49,626,300",85.95%,186
Spain,Domestic transport,2008,"101,487,436",-5.47%,"-5,877,969","43,748,331",75.77%,176
Spain,Domestic transport,2009,"94,283,116",-7.10%,"-7,204,321","36,544,011",63.29%,163
Spain,Domestic transport,2010,"90,963,436",-3.52%,"-3,319,680","33,224,330",57.54%,158
Spain,Domestic transport,2011,"85,803,495",-5.67%,"-5,159,940","28,064,390",48.61%,149
Spain,Domestic transport,2012,"78,675,780",-8.31%,"-7,127,716","20,936,675",36.26%,136
Spain,Domestic transport,2013,"79,504,757",1.05%,"828,977","21,765,652",37.70%,138
Spain,Domestic transport,2014,"79,764,974",0.33%,"260,216","22,025,868",38.15%,138
Spain,Domestic transport,2015,"82,868,382",3.89%,"3,103,408","25,129,277",43.52%,144
Spain,Domestic transport,2016,"85,677,539",3.39%,"2,809,157","27,938,434",48.39%,148
Spain,Domestic transport,2017,"88,276,877",3.03%,"2,599,337","30,537,772",52.89%,153
Spain,Domestic transport,2018,"89,378,987",1.25%,"1,102,110","31,639,882",54.80%,155
Spain,Domestic transport,2019,"90,535,142",1.29%,"1,156,155","32,796,036",56.80%,157
Spain,Domestic transport,2020,"73,354,108",-18.98%,"-17,181,033","15,615,003",27.04%,127
Spain,Energy supply,1990,"80,309,703",9.48%,"6,955,595",0,0.00%,100
Spain,Energy supply,1991,"80,682,206",0.46%,"372,503","372,503",0.46%,100
Spain,Energy supply,1992,"88,598,415",9.81%,"7,916,209","8,288,712",10.32%,110
Spain,Energy supply,1993,"82,722,950",-6.63%,"-5,875,465","2,413,247",3.00%,103
Spain,Energy supply,1994,"82,924,332",0.24%,"201,381","2,614,629",3.26%,103
Spain,Energy supply,1995,"88,438,915",6.65%,"5,514,584","8,129,212",10.12%,110
Spain,Energy supply,1996,"75,325,187",-14.83%,"-13,113,728","-4,984,516",-6.21%,94
Spain,Energy supply,1997,"87,922,766",16.72%,"12,597,579","7,613,063",9.48%,109
Spain,Energy supply,1998,"87,441,768",-0.55%,"-480,999","7,132,065",8.88%,109
Spain,Energy supply,1999,"102,767,012",17.53%,"15,325,244","22,457,309",27.96%,128
Spain,Energy supply,2000,"107,405,984",4.51%,"4,638,972","27,096,281",33.74%,134
Spain,Energy supply,2001,"101,770,688",-5.25%,"-5,635,296","21,460,985",26.72%,127
Spain,Energy supply,2002,"115,779,589",13.77%,"14,008,901","35,469,886",44.17%,144
Spain,Energy supply,2003,"108,432,802",-6.35%,"-7,346,786","28,123,099",35.02%,135
Spain,Energy supply,2004,"118,554,934",9.33%,"10,122,131","38,245,231",47.62%,148
Spain,Energy supply,2005,"128,278,440",8.20%,"9,723,507","47,968,737",59.73%,160
Spain,Energy supply,2006,"123,181,230",-3.97%,"-5,097,210","42,871,527",53.38%,153
Spain,Energy supply,2007,"129,120,832",4.82%,"5,939,601","48,811,129",60.78%,161
Spain,Energy supply,2008,"111,221,347",-13.86%,"-17,899,484","30,911,644",38.49%,138
Spain,Energy supply,2009,"93,765,817",-15.69%,"-17,455,530","13,456,114",16.76%,117
Spain,Energy supply,2010,"76,847,999",-18.04%,"-16,917,818","-3,461,704",-4.31%,96
Spain,Energy supply,2011,"90,172,853",17.34%,"13,324,854","9,863,150",12.28%,112
Spain,Energy supply,2012,"95,973,822",6.43%,"5,800,969","15,664,119",19.50%,120
Spain,Energy supply,2013,"76,177,432",-20.63%,"-19,796,390","-4,132,271",-5.15%,95
Spain,Energy supply,2014,"79,681,629",4.60%,"3,504,197","-628,074",-0.78%,99
Spain,Energy supply,2015,"89,428,008",12.23%,"9,746,379","9,118,305",11.35%,111
Spain,Energy supply,2016,"74,221,245",-17.00%,"-15,206,763","-6,088,459",-7.58%,92
Spain,Energy supply,2017,"84,589,451",13.97%,"10,368,207","4,279,748",5.33%,105
Spain,Energy supply,2018,"75,303,373",-10.98%,"-9,286,079","-5,006,330",-6.23%,94
Spain,Energy supply,2019,"59,997,722",-20.33%,"-15,305,651","-20,311,981",-25.29%,75
Spain,Energy supply,2020,"46,576,075",-22.37%,"-13,421,647","-33,733,628",-42.00%,58
Spain,Industry,1990,"66,951,443",43.75%,"20,375,368",0,0.00%,100
Spain,Industry,1991,"70,533,154",5.35%,"3,581,711","3,581,711",5.35%,105
Spain,Industry,1992,"66,711,589",-5.42%,"-3,821,565","-239,854",-0.36%,100
Spain,Industry,1993,"65,213,203",-2.25%,"-1,498,386","-1,738,240",-2.60%,97
Spain,Industry,1994,"72,958,102",11.88%,"7,744,898","6,006,658",8.97%,109
Spain,Industry,1995,"80,670,606",10.57%,"7,712,504","13,719,163",20.49%,120
Spain,Industry,1996,"75,447,758",-6.47%,"-5,222,848","8,496,315",12.69%,113
Spain,Industry,1997,"75,649,455",0.27%,"201,696","8,698,011",12.99%,113
Spain,Industry,1998,"77,218,500",2.07%,"1,569,046","10,267,057",15.34%,115
Spain,Industry,1999,"79,864,276",3.43%,"2,645,776","12,912,833",19.29%,119
Spain,Industry,2000,"83,606,429",4.69%,"3,742,153","16,654,986",24.88%,125
Spain,Industry,2001,"86,379,839",3.32%,"2,773,409","19,428,395",29.02%,129
Spain,Industry,2002,"89,890,562",4.06%,"3,510,723","22,939,118",34.26%,134
Spain,Industry,2003,"95,102,514",5.80%,"5,211,953","28,151,071",42.05%,142
Spain,Industry,2004,"95,718,654",0.65%,"616,140","28,767,210",42.97%,143
Spain,Industry,2005,"98,032,495",2.42%,"2,313,841","31,081,051",46.42%,146
Spain,Industry,2006,"88,610,378",-9.61%,"-9,422,117","21,658,934",32.35%,132
Spain,Industry,2007,"90,438,419",2.06%,"1,828,042","23,486,976",35.08%,135
Spain,Industry,2008,"83,262,833",-7.93%,"-7,175,587","16,311,389",24.36%,124
